StoreName,Category
Amazon,Shopping - Amazon
Doordash,Restaurant
AMZN,Shopping - Amazon
Bulk Barn,Groceries
Marshalls,Shopping
Netflix,Entertainment
Cineplex,Entertainment
Disney,Entertainment
Chatr,Phone
COGECO,Internet
Wyse,Electricity
WAL-MART,Shopping-Walmart
WALMART,Shopping-Walmart
AMAZON.CA PRIME MEMBER,Entertainment
Tim Hortons,Coffee
McDonalds,Restaurant
Pizza,Restaurant
Pita Pit,Restaurant
Wingery,Restaurant
Royal Spice,Restaurant
Dyments Farm,Groceries
Sensational Samosa,Restaurant
Red Lobster,Restaurant
Starbucks,Coffee
Skipthedishes,Restaurant
Bombay Spices,Grocery
Dental,Healthcare - Dental
Dentist,Healthcare - Dental
Insurance,Insurance
Payroll Deposit,Salary
Special Deposit,Savings - RESP
Copper Kettle,Restaurant
WAL\*MART,Shopping-Walmart
Supercuts,Grooming
Sephora,Grooming
Payment,Credit card payment
Fee,Banking fee
Indian Grocers,Groceries
Leela Supermarket,Groceries
Anjappar,Restaurant
Gap,Clothing
Children\'s Place,Clothing
Fortinos\'s,Groceries
Kaveri Supermarket,Groceries
Supermarkets,Groceries
Grocers,Groceries
Groceries,Groceries
Saravana Bhavan,Restaurant
Old navy,Clothing
American Eagle,Clothing
Payback with points,Credit card payment
Popeyes,Restauant
Cowangroup,Insurance
Uber \* Eats,Restaurant
Thirsty Cactus,Restaurant
Pho Nam,Restaurant
Pom Pom,Grooming
Salon,Grooming
